Metabolite,Score,Source,Sink,PValue
dag_hs,5203.044861216036,C_TAL,PT_S3,0.001996007984031936
glucyala,1780.48464236374,PEC,IC,0.001996007984031936
cyala,1476.8701908881058,PT_S1,CNT,0.001996007984031936
atp,1340.1677518432919,C_TAL,PT_S3,0.001996007984031936
mag_hs,1250.5182398289576,Fib,CD4T,1.0
gluampn,1174.2868759696316,CNT,PT_S1,0.001996007984031936
gal,1116.1258247655605,PT_S1,PT_S3,0.001996007984031936
glu_L,1091.601093119779,PT_S1,CNT,0.001996007984031936
lac_L,860.2058459883219,PEC,GS_Stromal,0.001996007984031936
amp,577.348167070877,PT_S3,C_TAL,0.001996007984031936
4nph,428.8785418044988,PC,C_TAL,0.003992015968063872
npphos,428.8785418044988,C_TAL,PC,0.003992015968063872
2hb,382.52912888226246,PT_S3,C_TAL,0.001996007984031936
cit,291.04868261554793,C_TAL,PT_S3,0.001996007984031936
4abut,249.0322086343162,PT_S3,C_TAL,0.001996007984031936
pyr,212.39590157641305,CD4T,Plasma_Cells,0.001996007984031936
hco3,202.4151200342973,PT_S3,PT_S1,0.001996007984031936
dgmp,180.083057343017,PC,C_TAL,0.003992015968063872
ppi,180.083057343017,PC,C_TAL,0.003992015968063872
dgtp,180.08305734301697,C_TAL,PC,0.003992015968063872
retn,153.95289050820065,PT_S3,C_TAL,0.001996007984031936
dtdp,143.9184456760933,Fib,C_TAL,1.0
akg,140.2774601443437,PT_S1,PT_S3,0.001996007984031936
gluglu,129.65409306075168,PT_S3,PT_S1,0.001996007984031936
prostge2,113.86808103182697,C_TAL,GS_Stromal,1.0
prostgf2,113.86808103182693,GS_Stromal,C_TAL,1.0
succ,107.98979913422876,iPT,C_TAL,0.001996007984031936
gthrd,102.87760718469039,C_TAL,PC,0.003992015968063872
glyc,94.63187235684792,Podo,PT_S3,0.9580838323353293
ala_L,90.35789333103376,PT_S1,PT_S2,0.001996007984031936
Rtotal,70.837143046452,GS_Stromal,C_TAL,1.0
glc_D,67.51865360294988,DCT,PT_S1,0.003992015968063872
nh4,65.0359771566577,iPT,PT_S1,0.001996007984031936
chol,57.27467517405444,C_TAL,iPT,0.001996007984031936
dttp,56.48077177651631,C_TAL,Fib,1.0
15kprostgf2,47.31794005373685,C_TAL,PT_S3,0.001996007984031936
ac,45.63720203474454,PT_S3,C_TAL,0.001996007984031936
pi,44.55269203771558,PT_S3,C_TAL,0.001996007984031936
tyrala,36.5852819109346,C_TAL,CD4T,1.0
34dhoxpeg,33.623812849330314,C_TAL,PC,0.003992015968063872
lcts6p,27.72184838636925,PC,C_TAL,0.003992015968063872
lcts,27.721848386369246,C_TAL,PC,0.003992015968063872
thrglnglu,19.95519160884496,GS_Stromal,C_TAL,1.0
acac,17.23308112106368,Fib,Plasma_Cells,0.001996007984031936
ser_L,14.827197092580787,PT_S1,PT_S2,0.001996007984031936
gln_L,14.550694330963164,PT_S1,PT_S3,0.001996007984031936
arg_L,14.15651994552102,C_TAL,PT_S3,0.001996007984031936
ala_D,10.930896060447092,Mono,C_TAL,1.0
aspglu,10.667259741064967,Plasma_Cells,Fib,0.001996007984031936
ser_D,9.507806952528183,C_TAL,iPT,0.001996007984031936
asn_L,9.102640192478587,C_TAL,PT_S3,0.001996007984031936
cgly,8.650817940621724,Plasma_Cells,CD4T,0.001996007984031936
aspasnglu,8.170190954159773,C_TAL,PEC,1.0
ile_L,8.13776630691067,C_TAL,PT_S3,0.001996007984031936
phe_L,7.38690862061326,C_TAL,PT_S3,0.001996007984031936
asp_L,5.892334093569632,IC,PC,0.001996007984031936
thr_L,4.205219494571788,C_TAL,PT_S3,0.001996007984031936
gly,3.7489131641801845,PT_S2,PT_S1,0.001996007984031936
lys_L,3.422905627962448,Fib,Plasma_Cells,0.001996007984031936
cholp,3.2946554193864914,Mono,C_TAL,1.0
thymd,2.9839898761204906,C_TAL,PT_S3,0.001996007984031936
thym,2.478597666312979,Endo_Peritubular,C_TAL,0.47904191616766467
met_L,2.311413677079139,C_TAL,PT_S3,0.001996007984031936
gthox,2.1779376358940428,C_TAL,GS_Stromal,1.0
tyr_L,2.1119126936553516,PC,IC,0.001996007984031936
adn,2.062842664666605,Podo,GS_Stromal,0.21157684630738524
dtmp,2.052237012741244,Fib,C_TAL,1.0
hxan,1.6388794491131158,C_TAL,PT_S3,0.001996007984031936
his_L,1.3860619669000178,C_TAL,PT_S3,0.001996007984031936
mal_L,1.0476096475564167,C_TAL,PT_S2,1.0
asplysglu,0.8803315700812071,C_TAL,Plasma_Cells,1.0
hdca,0.6138169325312068,C_TAL,GS_Stromal,1.0
serglyglu,0.44371358020630397,Mono,Plasma_Cells,0.001996007984031936
for,0.33677094561159127,C_TAL,Endo_Peritubular,0.47904191616766467
hisglnala,0.18842535519877415,C_TAL,IC,0.9560878243512974
cys_L,0.1729690176929982,CD4T,Plasma_Cells,0.001996007984031936
sphs1p,0.14312796616743462,C_TAL,PT_S3,0.001996007984031936
inost,0.06899720637702625,C_TAL,PT_S3,0.001996007984031936
meoh,0.06792813021626035,C_TAL,Fib,1.0
orot,0.038811751594123964,C_TAL,CD4T,1.0
trp_L,0.01941931078823005,C_TAL,PT_S3,0.001996007984031936
